,회사명,거래소코드,회계년도,감사의견코드,y,자기자본비율,부채비율,유동비율,당좌비율,차입금의존도,매출액규모,총자산규모,부채상환계수,총자본순이익률,자본금세전순이익률,자기자본순이익률,매출액세전순이익률,매출액영업이익률,금융비용대비매출액,매출원가율,이자보상배율,총자본회전율,자기자본회전율,비유동자산회전율,유형고정자산회전율,매출채권회전율,재고자산회전율,운전자산회전율,총자산증가율,유형자산증가율,매출액증가율,순이익증가율,자기자본증가율,총자본투자효율,부가가치율,노동소득분배율,현금흐름,광업,교육 서비스업,도매 및 소매업,"사업시설 관리, 사업 지원 및 임대 서비스업","수도, 하수 및 폐기물 처리, 원료 재생업","예술, 스포츠 및 여가관련 서비스업","전기, 가스, 증기 및 공기조절 공급업","전문, 과학 및 기술 서비스업",정보통신업,제조업
278,(주)케이엑스하이텍,52900,2016,1,1.0,84.06381814760412,29.197549311361183,320.22418992782747,79.5768094503136,7.5488623014490095,17.318436869050206,17.93837636169417,140.90242464255297,1.640930968559421,1.7063853165310852,1.9520062313588693,2.8084275498682727,4.129258562288295,0.54988633797516,75.64797290176891,750.9294698052357,58.42881610516846,69.50530845812375,94.71872893782724,135.08547549985693,380.8586437338447,695.2697374439572,206.474313320986,18.8384758246919,3.899395980128457,-28.70622704552488,28.48932755687492,29.155185468748314,6.989356578710416,11.962173880316143,55.25426151987811,3.1457605581101,0,0,0,0,0,0,0,0,0,1
279,(주)케이엔씨글로벌,68150,2012,1,1.0,61.75700525640037,84.001980018891,88.89055082637869,98.48104809224462,26.71969107559376,16.15771042107634,17.28302388021775,15.190182347639189,-1.6669906872599969,-1.6669906872599969,-2.6992738400106164,-4.520035805118733,15.467009685317295,7.795244931829272,61.09874579240356,198.41595511852285,36.88003279470057,59.71797473271812,48.59062604951181,60.51123128714958,434.951334952192,7602.612368376825,-923.9956837982576,31.57291116298738,-7.736814608797089,80.69604831020236,-125.05682514479358,10.725519932245508,11.766436976269482,31.90462720510445,18.34030298949596,5.138314329835698,0,0,0,0,0,0,0,0,0,0
280,(주)케이엔씨글로벌,68150,2016,1,1.0,54.37523543833876,94.49081040590674,84.80021172210553,99.9026065249314,13.249623311667412,15.914591723459866,17.743540348527624,-31.379458614597976,-9.034856192350292,-9.034856192350292,-16.61575553561653,-53.20142866423081,-45.65590960291322,14.45219625257548,41.89372777670871,-315.9098368511085,16.982356337405548,31.23178447045705,29.29855439775479,167.96733902641913,238.9577517673601,40608.58095664726,-220.65159626616108,12.21248503885921,-27.21070225309656,-32.00135386038152,-151.47914530364605,52.07963292664226,1.6663323240609853,9.812138498064025,327.5522772128813,-9.501641294935403,0,0,0,0,0,0,0,0,0,0
281,(주)케이피엠테크,42040,2013,1,1.0,7.645245060653452,1033.3152322027406,75.18063850243757,63.24763943653387,57.95763952442242,17.53406951091912,17.934581504564196,-18.275288505034684,-13.952306648467786,-13.928040689329336,-182.49652611233967,-24.035775972963265,-9.934402820746904,6.644353340554307,94.36307360279062,-149.51647378702054,58.04808076162006,759.2703739526512,104.77236329800732,174.41298647651905,278.9684180530497,464.23776064311255,-516.8221356802923,-23.56795290374058,77.5521744956043,3.1626140544751533,-321.09085299795044,-68.87294892854372,-1.1599367958051234,-1.9982345334870133,-318.04518492248945,53.99887265642721,0,0,0,0,0,0,0,0,0,1
282,(주)케이피엠테크,42040,2014,1,1.0,5.584143202444671,1388.2108373800745,104.18455242747568,59.23601692208735,37.880969708652586,16.44542659008489,17.59338607244687,71.31618587662388,0.5614495267295034,0.3322761365818589,10.054354023079272,2.1293261071010097,-12.146637203322664,5.875464629750505,90.8276780027976,-206.7349217254748,26.36747489532705,472.1847907443292,48.88058752242112,62.437790534939175,127.71655710069912,139.96938404150225,1420.5743900203677,-28.90800419634608,-52.98612748768415,-66.33269241554896,3452.799490847786,-45.86316687725277,-0.7596816391703993,-2.8811315538790296,-183.3189888112728,179.8818296090384,0,0,0,0,0,0,0,0,0,1
283,(주)코너스톤네트웍스,33110,2018,1,1.0,41.36723648330075,148.8962512672756,98.54891100460524,79.92853169136355,20.219370540778545,15.102537193516016,17.861588871249385,-5.5699181052712525,-4.947674368242763,-3.5148832404128987,-11.96036957953441,-75.8520221280999,-107.26537623816228,49.06185834846539,89.18103556569973,-218.63292555349653,6.522798245097625,15.76802996673652,17.395530132836832,260.0602618767342,83.44445819058276,53.62194525618388,-730.936231784618,6.103764765623041,219.5473331606249,21.72027465355772,-113.0194378787142,-11.830626017119585,-3.810415263516565,-58.41688061378228,-67.1695197224769,-14.770883012917068,0,0,1,0,0,0,0,0,0,0
284,(주)코너스톤네트웍스,33110,2020,1,1.0,1.171747631171432,5831.331886972901,66.02835387535323,85.08876039471231,15.319832304681222,16.201430686812863,17.570436029185043,-379.0074732650639,-61.39335532147552,-61.39334068335201,-5239.469121870441,-347.2853997756383,-72.82794214292147,16.33297785944487,72.50714160259871,-445.8950643884408,17.678069783854525,1508.6925984378752,44.73110083180712,181.2794953889395,174.575565560567,290.82440471492055,-84.28658835426076,-46.74301213080796,-19.26085234349848,6.55602768657424,-1080.4674867651136,-98.53621098389236,-1.6676547264496195,-9.433466135384858,-242.865753333808,-370.78282523329847,0,0,1,0,0,0,0,0,0,0
285,(주)코다코,46070,2019,1,1.0,20.84987915678256,351.42913049437044,45.897090728087406,63.87636024439973,49.38364948306895,19.051648309633084,19.76905846664379,14.82464186935143,-1.30209640774603,-1.2640490438602774,-6.245102899421132,-2.8347664917675464,-4.208826453846331,5.045248417235334,91.93928970427211,-83.42159009392563,45.93310988850234,220.3039621625821,66.00267938626534,72.62673247316165,397.5003221948372,516.5057216015978,-158.2818720730578,-11.10258143012138,4.044711743736157,0.4394161264325715,-218.00739398474028,-28.396854603370524,-0.3226621850759426,-0.702461004402206,-422.2887765343029,28.491406773857303,0,0,0,0,0,0,0,0,0,1
286,(주)코다코,46070,2020,1,1.0,6.660215616416236,1294.680060123479,26.51492118616436,50.107453867773565,31.98034597205736,18.76204210217401,19.62659197132184,8.479457790810478,-3.12279235393682,-2.894285889346447,-46.88725611584852,-7.980855798935664,-1.8127199767840687,6.039441564657753,88.07256034643297,-30.01469518956748,39.12854000385872,587.4965955668747,51.53567459746827,54.8024289393594,392.4085788735128,389.5183528823236,-70.12207660786919,-13.278339038119348,-5.451605024282421,-25.14417137846774,-310.745250331285,-71.92998944891826,0.7029187062258522,1.7964347919869554,186.78916724533943,46.84395164297671,0,0,0,0,0,0,0,0,0,1
287,(주)코데즈컴바인,47770,2015,1,1.0,30.32107156108855,71.24637344587224,80.75507168454237,47.11723928055172,9.04501087662558,16.567559590093804,17.465180778859036,-139.22594384804577,-15.916158689180824,-5.117232453472025,-52.49207191478763,-75.21496560352573,-113.3093184393696,3.4791058747663515,100.28931941801564,-3256.85168885466,21.16089339597431,69.78939828475711,40.7277313048868,91.37113327724474,113.84368982812052,232.71925518991864,-516.4163059374616,-64.93446428299549,-36.485870991586246,-81.20705742585511,-184.89283099449128,46.6707572479661,-13.582938733483829,-64.18887179908894,-29.9865307336218,-87.05780215926731,0,0,0,0,0,0,0,0,0,1
