Column1,회사명,거래소코드,회계년도,감사의견코드,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,(주)구영테크,53270,2015,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,(주)구영테크,53270,2016,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,(주)구영테크,53270,2017,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,(주)구영테크,53270,2018,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,(주)구영테크,53270,2019,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,(주)구영테크,53270,2020,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,(주)구영테크,53270,2021,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,(주)국보디자인,66620,2011,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,(주)국보디자인,66620,2012,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,(주)국보디자인,66620,2013,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,(주)국보디자인,66620,2014,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,(주)국보디자인,66620,2015,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,(주)국보디자인,66620,2016,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,(주)국보디자인,66620,2017,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,(주)국보디자인,66620,2018,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,(주)국보디자인,66620,2019,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,(주)국보디자인,66620,2020,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,(주)국보디자인,66620,2021,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,(주)국순당,43650,2011,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,(주)국순당,43650,2012,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,(주)국순당,43650,2013,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,(주)국순당,43650,2014,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,(주)국순당,43650,2015,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,(주)국순당,43650,2016,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,(주)국순당,43650,2017,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,(주)국순당,43650,2018,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,(주)국순당,43650,2019,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,(주)국순당,43650,2020,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,(주)국순당,43650,2021,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,(주)국영지앤엠,6050,2011,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,(주)국영지앤엠,6050,2012,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,(주)국영지앤엠,6050,2013,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,(주)국영지앤엠,6050,2014,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,(주)국영지앤엠,6050,2015,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,(주)국영지앤엠,6050,2016,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,(주)국영지앤엠,6050,2017,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,(주)국영지앤엠,6050,2018,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,(주)국영지앤엠,6050,2019,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,(주)국영지앤엠,6050,2020,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,(주)국영지앤엠,6050,2021,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,(주)국전약품,307750,2020,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,(주)국전약품,307750,2021,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,(주)그래디언트,35080,2011,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,(주)그래디언트,35080,2012,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,(주)그래디언트,35080,2013,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,(주)그래디언트,35080,2014,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,(주)그래디언트,35080,2015,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,(주)그래디언트,35080,2016,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,(주)그래디언트,35080,2017,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,(주)그래디언트,35080,2018,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,(주)그래디언트,35080,2019,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,(주)그래디언트,35080,2020,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,(주)그래디언트,35080,2021,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,(주)그리티,204020,2019,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,(주)그리티,204020,2020,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
