,거래소코드,회계년도,y,예측
797,13120,2017,0.0,0.0
798,13120,2018,0.0,0.0
799,13120,2019,0.0,0.0
800,13120,2020,0.0,0.0
801,32960,2011,0.0,1.0
802,32960,2012,0.0,1.0
803,32960,2013,0.0,0.0
804,32960,2014,0.0,0.0
805,32960,2015,0.0,0.0
806,32960,2016,0.0,1.0
807,32960,2017,0.0,0.0
808,32960,2018,0.0,0.0
809,32960,2019,0.0,1.0
810,32960,2020,0.0,0.0
811,5290,2011,0.0,1.0
812,5290,2012,0.0,1.0
813,5290,2013,0.0,1.0
814,5290,2014,0.0,1.0
815,5290,2015,0.0,1.0
816,5290,2016,0.0,1.0
817,5290,2017,0.0,0.0
818,5290,2018,0.0,0.0
819,5290,2019,0.0,0.0
820,5290,2020,0.0,0.0
821,131970,2015,0.0,1.0
822,131970,2016,0.0,1.0
823,131970,2017,0.0,0.0
824,131970,2018,0.0,0.0
825,131970,2019,0.0,0.0
826,131970,2020,0.0,0.0
827,73190,2011,0.0,0.0
828,73190,2012,0.0,1.0
829,73190,2013,0.0,0.0
830,73190,2014,0.0,1.0
831,73190,2015,0.0,1.0
832,73190,2016,0.0,1.0
833,73190,2017,0.0,0.0
834,73190,2018,0.0,1.0
835,73190,2019,0.0,1.0
836,73190,2020,0.0,0.0
837,30350,2011,0.0,0.0
838,30350,2012,0.0,0.0
839,30350,2013,0.0,1.0
840,30350,2014,0.0,0.0
841,30350,2015,0.0,1.0
842,30350,2016,0.0,0.0
843,30350,2017,0.0,0.0
844,30350,2018,0.0,0.0
845,30350,2019,0.0,0.0
846,30350,2020,0.0,0.0
847,203650,2018,0.0,1.0
848,203650,2019,0.0,1.0
849,203650,2020,0.0,0.0
850,60570,2011,0.0,1.0
851,60570,2012,0.0,1.0
852,60570,2013,0.0,1.0
853,60570,2014,0.0,0.0
854,60570,2015,0.0,0.0
855,60570,2016,0.0,0.0
856,60570,2017,0.0,1.0
857,60570,2018,0.0,0.0
858,60570,2019,0.0,0.0
859,60570,2020,0.0,0.0
860,217620,2018,0.0,0.0
861,217620,2019,0.0,1.0
862,217620,2020,0.0,1.0
863,16670,2011,0.0,1.0
864,16670,2012,0.0,0.0
865,16670,2013,0.0,0.0
866,16670,2014,0.0,0.0
867,16670,2015,0.0,0.0
868,16670,2016,0.0,1.0
869,16670,2017,0.0,0.0
