,회사명,거래소코드,회계년도,산업분류
302,(주)나이스디앤비,130580,2016,"사업시설 관리, 사업 지원 및 임대 서비스업"
303,(주)나이스디앤비,130580,2017,"사업시설 관리, 사업 지원 및 임대 서비스업"
304,(주)나이스디앤비,130580,2018,"사업시설 관리, 사업 지원 및 임대 서비스업"
305,(주)나이스디앤비,130580,2019,"사업시설 관리, 사업 지원 및 임대 서비스업"
306,(주)나이스디앤비,130580,2020,"사업시설 관리, 사업 지원 및 임대 서비스업"
307,(주)나이스디앤비,130580,2021,"사업시설 관리, 사업 지원 및 임대 서비스업"
308,(주)나인테크,267320,2018,제조업
309,(주)나인테크,267320,2019,제조업
310,(주)나인테크,267320,2020,제조업
311,(주)나인테크,267320,2021,제조업
312,(주)내츄럴엔도텍,168330,2015,"전문, 과학 및 기술 서비스업"
313,(주)내츄럴엔도텍,168330,2016,"전문, 과학 및 기술 서비스업"
314,(주)내츄럴엔도텍,168330,2017,"전문, 과학 및 기술 서비스업"
315,(주)내츄럴엔도텍,168330,2018,"전문, 과학 및 기술 서비스업"
316,(주)내츄럴엔도텍,168330,2019,"전문, 과학 및 기술 서비스업"
317,(주)내츄럴엔도텍,168330,2020,"전문, 과학 및 기술 서비스업"
318,(주)내츄럴엔도텍,168330,2021,"전문, 과학 및 기술 서비스업"
319,(주)네오리진,94860,2011,정보통신업
320,(주)네오리진,94860,2012,정보통신업
321,(주)네오리진,94860,2013,정보통신업
322,(주)네오리진,94860,2014,정보통신업
323,(주)네오리진,94860,2015,정보통신업
324,(주)네오리진,94860,2016,정보통신업
325,(주)네오리진,94860,2017,정보통신업
326,(주)네오리진,94860,2018,정보통신업
327,(주)네오리진,94860,2019,정보통신업
328,(주)네오리진,94860,2020,정보통신업
329,(주)네오리진,94860,2021,정보통신업
330,(주)네오셈,253590,2019,제조업
331,(주)네오셈,253590,2020,제조업
332,(주)네오셈,253590,2021,제조업
333,(주)네오오토,212560,2017,제조업
334,(주)네오오토,212560,2018,제조업
335,(주)네오오토,212560,2019,제조업
336,(주)네오오토,212560,2020,제조업
337,(주)네오오토,212560,2021,제조업
338,(주)네오위즈,95660,2011,정보통신업
339,(주)네오위즈,95660,2012,정보통신업
340,(주)네오위즈,95660,2013,정보통신업
341,(주)네오위즈,95660,2014,정보통신업
342,(주)네오위즈,95660,2015,정보통신업
343,(주)네오위즈,95660,2016,정보통신업
344,(주)네오위즈,95660,2017,정보통신업
345,(주)네오위즈,95660,2018,정보통신업
346,(주)네오위즈,95660,2019,정보통신업
347,(주)네오위즈,95660,2020,정보통신업
348,(주)네오위즈,95660,2021,정보통신업
349,(주)네오위즈홀딩스,42420,2011,정보통신업
350,(주)네오위즈홀딩스,42420,2012,정보통신업
351,(주)네오위즈홀딩스,42420,2013,정보통신업
352,(주)네오위즈홀딩스,42420,2014,정보통신업
353,(주)네오위즈홀딩스,42420,2015,정보통신업
354,(주)네오위즈홀딩스,42420,2016,정보통신업
355,(주)네오위즈홀딩스,42420,2017,정보통신업
356,(주)네오위즈홀딩스,42420,2018,정보통신업
357,(주)네오위즈홀딩스,42420,2019,정보통신업
358,(주)네오위즈홀딩스,42420,2020,정보통신업
359,(주)네오위즈홀딩스,42420,2021,정보통신업
360,(주)네오이뮨텍,950220,2021,"전문, 과학 및 기술 서비스업"
361,(주)네오크레마,311390,2020,제조업
362,(주)네오크레마,311390,2021,제조업
363,(주)네오티스,85910,2011,제조업
364,(주)네오티스,85910,2012,제조업
365,(주)네오티스,85910,2013,제조업
366,(주)네오티스,85910,2014,제조업
367,(주)네오티스,85910,2015,제조업
368,(주)네오티스,85910,2016,제조업
369,(주)네오티스,85910,2017,제조업
