,총자본순이익률,총자산증가율,순이익증가율,운전자산회전율,현금흐름,금융비용대비매출액,자기자본비율,유형자산증가율,y,감사의견코드,광업,교육 서비스업,도매 및 소매업,"사업시설 관리, 사업 지원 및 임대 서비스업","수도, 하수 및 폐기물 처리, 원료 재생업","예술, 스포츠 및 여가관련 서비스업","전기, 가스, 증기 및 공기조절 공급업","전문, 과학 및 기술 서비스업",정보통신업,제조업,회계년도
595,2.208430647265718,2.5012687345840017,297.8996322912627,1197.8904235555374,12.966413999247454,3.99718139971864,56.57557029217307,25.24999795800612,0.0,1,0,0,0,0,0,0,0,0,0,1,2014
596,-1.108808923304227,111.93079506412876,-159.43577594423112,349.41526650292184,-10.342962062017126,1.0378237224065072,58.64272156534882,17.127931122273978,0.0,1,0,0,0,0,0,0,0,0,0,1,2014
597,9.53346836559936,29.317302340272384,42.73170139068836,242.86935404909755,22.118611076418137,0.0,75.71805325842074,73.97129545685966,0.0,1,0,0,0,0,0,0,0,0,0,1,2014
598,3.634178424983309,33.49279234541031,-53.97490448482238,65.02123457073681,-6.720026407927754,0.1165962966626451,100.53372883051904,51.3716857180618,0.0,1,0,0,0,0,0,0,0,0,0,1,2014
599,7.200589670620258,19.1546473677394,29.738708769409005,433.1495041797919,7.688786972666281,0.5277271312482056,41.88627956156629,24.499962825655704,0.0,1,0,0,0,0,0,0,0,0,0,0,2015
600,-4.0790680492152935,104.61373612689944,-122.7427453358792,8.988502279650914,-14.722195687018004,11.470860078137118,63.65023459304455,-83.5495824386461,0.0,1,0,0,0,0,0,0,0,0,0,0,2015
601,-0.7390515690157771,9.8843913036679,-159.0212190155845,74.59934258137046,-49.11004991211958,2.277293975438968,51.63305213231506,-13.490999336246032,0.0,1,0,0,0,0,0,0,0,0,0,0,2015
602,-0.2609992676910135,-8.817822702434135,-123.4259400405316,468.1484067344346,4.405385764572006,0.4048981194138703,63.66600812778837,7.978149954593112,0.0,1,0,0,1,0,0,0,0,0,0,0,2015
603,-6.901315397136326,-8.246653333634029,-277.46904214665545,-128.77092870240196,-5.205050789144477,4.986414731344047,30.487455532810888,-7.656552725742956,0.0,1,0,0,1,0,0,0,0,0,0,0,2015
604,-2.277872953426511,-0.2869990277242163,-850.9269684987825,301.4240973047206,33.49679609375467,1.3967396651942257,35.89775392948802,-2.4818679326951734,0.0,1,0,0,1,0,0,0,0,0,0,0,2015
605,-0.6803331308001126,-3.5087202701468505,-114.3794026495404,83.6758269177865,-3.343885189337857,3.7915227241007696,76.84465649175829,-79.95916068159414,0.0,1,0,0,1,0,0,0,0,0,0,0,2015
606,4.740086910271049,-3.974687691255356,-40.27710672753324,973.5263849817547,6.27940357374812,0.617181342701695,76.25123972410309,-6.183096123890501,0.0,1,0,0,0,0,1,0,0,0,0,0,2015
607,3.476580874295228,-2.2018224344273385,46.526214559719214,-717.7704230674402,14.259907783264788,0.6911817960601476,41.76529195015448,0.881098691777327,0.0,1,0,0,0,0,0,0,1,0,0,0,2015
608,3.018641144277485,31.510559180809704,1705.3474660716392,1810.6283009808628,-23.45062889210285,0.0,44.81331901842013,12.06266344774964,0.0,1,0,0,0,0,0,0,0,1,0,0,2015
609,-0.4761192855476967,-4.61994435718028,-124.5197457215473,77.90999504028794,3.8856420112445456,1.676761869021162,83.02117071997603,-5.676803728957398,0.0,1,0,0,0,0,0,0,0,0,1,0,2015
610,6.959473511350383,8.575492418855122,15.500469656121265,115.72013485922731,7.314142152350889,0.0,81.26605576687126,6.75577744061322,0.0,1,0,0,0,0,0,0,0,0,1,0,2015
611,7.17931063760006,30.70508798297303,6.077014024096084,103.9218710719283,7.987774533303728,0.4078684871736094,93.48321530682529,-11.694446756645112,0.0,1,0,0,0,0,0,0,0,0,1,0,2015
612,1.2288367882261169,-11.847501990816674,-44.81880842022916,115.32232504633356,6.097250968472317,0.0,63.3690625271416,-39.60376337972766,0.0,1,0,0,0,0,0,0,0,0,1,0,2015
613,-5.849117539298491,159.63654548841987,-267.13693455472657,38.04542946337584,-10.695380518049635,1.6336047627020998,92.71254485375628,-3.3246518799890934,0.0,1,0,0,0,0,0,0,0,0,1,0,2015
614,-2.563782650072634,-1.9002130333021263,-140.20097334743397,-181.9953296899845,2.0742517940208827,2.291737521242601,18.36956274491222,0.2256647683953431,0.0,1,0,0,0,0,0,0,0,0,1,0,2015
615,2.605648009649929,47.39388174251108,435.3993414076017,152.17712690574496,-54.020382979448655,0.4987152012805352,70.39625821364126,-2.97429750846024,0.0,1,0,0,0,0,0,0,0,0,0,1,2015
616,-2.843665535438042,-4.353501473422631,-580.0461870126215,113.89402585588417,2.2853530819367696,0.7028812356369666,75.87248340173053,0.4177061165589326,0.0,1,0,0,0,0,0,0,0,0,0,1,2015
