회사명,거래소코드,회계년도,자산,유동자산,재고자산,매출채권및기타유동채권,비유동자산,유형자산,부채,유동부채,장기차입금,단기차입금,장기사채,단기사채,유동성장기부채,자본,매출원가,매출액,당기순이익,판매비와관리비,(정상)영업손익,법인세비용차감전순이익,급여,세금과공과,이자비용,기말자본금,기초자본금,유무형자산등상각비,대손상각비,감가상각비,영업활동으로인한현금흐름
(주)고영테크놀러지,98460,2020/09,295926556,217758256,35099210,66150279,78168300,36349748,46489206,23664091,1155502,0,0,0,0,249437350,46676287,130661592,12537426,72564942,11420362,15350220,14197799,1539984,205548,6865476,6858976,8558,836198,7267024,28224957
(주)고영테크놀러지,98460,2021/09,359234750,261628302,42813647,88991924,97606447,37810387,85248574,44847932,0,0,0,0,0,273986176,69137863,187914397,33521970,87439120,31337415,42604251,16581665,1480843,141072,6865476,6865476,9471,249463,7415333,22656586
(주)골드앤에스,35290,2010/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)골드앤에스,35290,2011/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)골드앤에스,35290,2012/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)골드앤에스,35290,2013/09,60367951,19778322,3315168,8424421,40589628,18917805,34980093,25295757,4419616,18593795,2700000,0,470000,25387858,21588296,31374978,-3098234,12049956,-2263274,-3616286,4125147,309700,1036122,35819682,35819682,4896,1242042,295488,-888709
(주)골드앤에스,35290,2014/09,49369991,16071410,3449481,6871034,33298581,23016176,38028702,31393777,3132826,16805403,0,0,6821992,11341289,17375348,24994051,-4085189,9582765,-1964062,-4123165,2913030,282252,1454749,5437609,35819682,4480,43611,231679,-1000154
(주)골드앤에스,35290,2015/09,25848527,14426732,2758486,5485062,11421796,373729,7657351,4442080,0,225190,2000000,250000,0,18191176,10983432,15570452,-5685082,4440120,146901,-540563,1662804,214914,457282,9716771,6077692,2779,0,145550,1347850
(주)골드앤에스,35290,2016/09,19939888,9427487,2147435,5426876,10512401,205231,6228358,5488598,0,1108607,0,2250000,0,13711530,7504332,12350579,631333,4615140,231108,806221,1437409,148046,130385,9852021,9852021,1542,80686,122585,695185
(주)골드앤에스,35290,2017/09,21987778,13349529,1602467,10294527,8638248,141203,4961751,4301203,0,2536216,0,0,0,17026027,6165231,10243871,-948900,4905641,-827001,-1066459,1434109,0,115929,10601351,10017311,1189,111423,90273,-3551755
(주)골드앤에스,35290,2018/09,30212161,19923476,1075176,1692486,10288686,8918069,17906025,17360051,0,0,0,17100000,0,12306137,3439628,6702084,-3115910,7053279,-3790824,-3549097,1929149,0,576612,11086938,11086938,628,0,184648,-2667090
(주)골드앤에스,35290,2019/09,30443777,7582369,1774519,1163148,22861409,12307114,19216002,18163850,0,2000000,0,16000000,36822,11227775,3760607,6183927,-10675549,6879282,-4455962,-10516617,1456102,310750,2675137,12850687,11380624,1208,17676,578850,-5064705
(주)골드앤에스,35290,2020/09,19110694,3957298,875433,650567,15153396,4756844,22270957,22069155,0,1574674,0,16303251,0,-3160263,1289722,3229088,-4274619,3720977,-1781610,-4258662,777143,248615,2362250,1285069,1285069,557,359009,367091,-565138
(주)골드앤에스,35290,2021/09,25492199,12576557,396308,1416582,12915642,2889496,10389294,3655444,0,0,5000000,0,0,15102905,5603855,8808291,556335,2600318,604118,579972,600092,213210,0,18111955,18111955,0,0,80238,1298283
(주)골드퍼시픽,38530,2010/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)골드퍼시픽,38530,2011/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)골드퍼시픽,38530,2012/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)골드퍼시픽,38530,2013/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)골드퍼시픽,38530,2014/09,39697505,21002665,8319840,7973159,18694841,10455539,27433672,19716580,0,10202000,0,0,0,12263833,13514320,11990285,-6531665,3950597,-5474633,-6531665,1287846,48211,974688,13873132,12853464,1681,0,54991,-1737953
(주)골드퍼시픽,38530,2015/09,27770092,11958188,2606854,6390240,15811904,2924160,9365181,5991234,104589,2200000,1800000,200000,201910,18404911,15313898,14600548,-6572440,4664711,-5378060,-6572440,1306847,66822,742335,23318675,17553735,-2196,1799247,176901,-5914923
(주)골드퍼시픽,38530,2016/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)골드퍼시픽,38530,2017/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)골드퍼시픽,38530,2018/09,32212755,17297825,737895,2985154,14914930,184386,16702930,10044025,5440000,0,1120000,9200000,150000,15509825,2635372,6131019,-369822,3459495,36152,-369822,881020,30194,1114092,4568172,3327857,153,13661,153139,-982823
(주)골드퍼시픽,38530,2019/09,82902138,62108627,4062202,4498889,20793512,800930,35241725,34306437,0,0,0,33600000,0,47660413,4002301,6804188,-4777514,5284485,-2482599,-4611048,1594056,13482,2280078,16896736,8568172,349,568196,319977,-3295025
(주)골드퍼시픽,38530,2020/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)골드퍼시픽,38530,2021/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)골프존,215000,2015/09,170467343,69233231,4064480,13397992,101234112,81236400,72948326,54645042,15000000,20000000,0,0,0,97519017,57297527,140135997,25001538,50392091,32446379,30966677,5893677,962516,509826,3137708,0,4589,271010,2620227,36310061
(주)골프존,215000,2016/09,184202377,89837930,9823226,16226725,94364447,74509324,69816979,58388223,8333300,26666700,0,0,0,114385399,64231589,164163644,30352030,61781844,38150211,36159008,8092013,659544,576021,3137708,3137708,5642,210465,2730695,30652187
(주)골프존,215000,2017/09,246831431,154450133,11903406,18244105,92381297,71363540,65618191,57463251,4999980,28333320,0,0,0,181213240,56777765,155757472,70736649,68612560,30367147,44074260,8810879,919870,538882,3137708,3137708,4128,446733,1675951,72765238
(주)골프존,215000,2018/09,258984711,159601569,12870673,23769846,99383143,78011260,66345717,56452291,6666660,23333320,0,0,0,192638994,52654475,143321191,18351314,66718662,23948054,23354722,11476687,1089265,556489,3137708,3137708,4280,452345,1988653,21824417
(주)골프존,215000,2019/09,306494758,112842724,10118046,24514836,193652034,101800589,100434126,60213197,0,1666660,0,0,0,206060633,70073202,186876351,21746811,84310742,32492407,30510628,17100292,1679832,751935,3137708,3137708,13133,0,10075082,39094877
(주)골프존,215000,2020/09,351424593,109662508,10830245,22691062,241762085,113749549,129880051,70945343,0,0,0,0,0,221544542,83094036,224564455,32311235,96429670,45040749,42051006,19677323,1386156,1091566,3137708,3137708,23951,423518,20634983,64020677
(주)골프존,215000,2021/09,452690590,204784246,18773678,30646896,247906345,117613584,164996685,105141499,0,0,0,0,0,287693905,115619890,328233547,72593733,116976541,95637116,95614006,22387978,1739600,1246255,3137708,3137708,27724,353391,25243418,102740675
(주)골프존뉴딘홀딩스,121440,2011/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)골프존뉴딘홀딩스,121440,2012/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)골프존뉴딘홀딩스,121440,2013/09,601042946,288665738,30141929,19310390,312377208,195081733,132653252,130021469,0,81600000,0,0,0,468389694,141010950,271829087,45271111,66310989,64507149,60275917,15956574,1325864,2399151,18424535,6141512,7908,104599,4508912,32727963
(주)골프존뉴딘홀딩스,121440,2014/09,743503258,205873462,34993951,18868745,537629796,434617734,258282725,221990759,35000000,155100000,0,0,0,485220533,169676734,335820722,78413374,73386635,92757353,97501255,15272626,1563253,3304523,18424535,18424535,9202,443625,5296129,20170630
(주)골프존뉴딘홀딩스,121440,2015/09,771534651,104065976,26274882,11220035,667468676,407650439,216631043,103951360,103000000,83445000,0,0,0,554903608,83542899,121355192,876298107,47902124,-10089832,-14823188,11788888,1650001,4290502,21418409,18424535,9423,143786,4674357,-26321833
(주)골프존뉴딘홀딩스,121440,2016/09,774650859,84978650,32320351,9935941,689672209,401865618,222922802,135168849,75000000,110840000,0,0,0,551728057,96204219,184364140,26641778,56084080,32075840,27975008,16145482,1330470,5302574,21418409,21418409,8771,2747,4373224,11496308
(주)골프존뉴딘홀딩스,121440,2017/09,774685926,106120058,41164454,10125692,668565869,396207521,242934917,123559863,106800595,66540000,0,0,26297619,531751009,96587905,182752826,9571999,68788984,17375937,11000975,19721289,1533661,5250083,21418409,21418409,9504,11689,4725826,2652898
(주)골프존뉴딘홀딩스,121440,2018/09,813513814,106098233,55506110,14585150,707415582,386559653,279168582,191471317,52840200,161946631,0,0,800000,534345232,93531507,174386157,36758947,67833236,13021414,58338101,18596908,1222213,5535617,21418409,21418409,9398,666319,4237710,-15664539
